timestamp,content,title,author,board
2025-06-20 3:26:07,"""作者lupefan4eva (LupeFan4Eva)看板Gossiping標題Re: [問卦] 以色列會後悔打伊朗嗎？時間Fri Jun 20 03:26:07 2025
: 推 FMZ: 中華民國二戰時候救助過猶太人，猶太人感恩
: → FMZ: 到冷戰時一直技術援助中華民國
: → FMZ: 樓上知道這段歷史嗎

我好奇搜尋維基百科
得到以下的歷史

中華民國政府對猶太復國主義一直持同情和支持態度，1949年3月初，中華民國政府正式
承認以色列，在聯合國大會上投票贊成接納以色列為會員國，允許以色列向中國派出一名
領事駐節上海，處理猶太人難民向以色列的轉移問題。在此期間以色列的確派了一個外交
使團駐紮在上海，而且此時至少有4500名猶太人前往以色列。但不久，國府遷臺，以色列
駐上海領事伊爾坦提出：「根據我國的承認政策，我們的承認必須建立在務實的基礎之上
.....毫無疑問，共和國政府是控制大陸的有效政府。」這一思想奠定了以色列對華政策
的大方向。

1950年1月9日，以色列正式承認了新建立的中華人民共和國，成為中東地區第一個承認中
共政權的國家。1959年，以色列向該國駐聯合國大使指示，「儘管我們與共產黨中國的交
往不順，但也要盡量避免與臺灣的國民黨政權來往。」。以色列與中華民國未建交是出於
雙方各自的考量因素，除了以色列對中華人民共和國的承認之外，中華民國方面也基於對
聯合國內阿拉伯諸國的外交支持有所需求，故採取親阿拉伯、遠以色列的立場。1967年6
月「六日戰爭」後，中華民國於《聯合國安全理事會第242號決議》與美國等其他安理會
常任理事國一同投下同意票，要求以色列撤出周邊阿拉伯諸國境內的以軍佔領部隊。然而
，基於兩國都是美國的盟友，美國持續對兩國提供軍事和經濟支持。

1971年10月25日，以色列投票反對中華民國續留聯合國，即《聯合國大會2758號決議》。
然而同樣在1970年代，尤其是1979年中華民國與美國斷交後，臺灣在美國軍械減少下對第
三方武器來源的需求，與以色列對外軍售賺取外匯及打破孤立的需求，促使雙方的檯面下
軍事合作密切化。""",Re: [問卦] 以色列會後悔打伊朗嗎？,lupefan4eva,Gossiping
2025-06-20 3:40:41,"""作者malaman (麻辣麵)看板Gossiping標題[問卦] 伊朗到底丟不丟啦時間Fri Jun 20 03:40:41 2025
伊朗昨天放一個摸摸影片

看的我好興奮

還以為終於要有大場面

結果又是唬爛

等多久了

伊朗到底丟不丟啦

煩死了""",[問卦] 伊朗到底丟不丟啦,malaman,Gossiping
2025-06-18 10:26:24,"""作者peterlee97 (瑋美絕倫迷)看板Gossiping標題[爆卦] 徵集遭Meta官方Ban帳號的停權停用受害者時間Wed Jun 18 10:26:24 2025

*以下經版主同意後貼文*

我們是近來遭到Meta官方惡意鎖帳號的龐大受害者之一

近數個月以來，數以千計的朋友的Facebook、Instagram、Threads
遭到Meta官方直接停用、甚至停權，理由五花八門，甚至許久未曾使用的帳號也遭遇此劫
。而官方僅僅以ai自動判定，不給任何機會就直接封鎖；許多受害者十幾年和親友的回憶
、逝去至親好友的唯一紀錄及連結、和斷聯多年的摯友及國外親友的連結、辦理中工作事
項與心血等等諸多在各類Meta平台上建立的紀錄，就這樣在轉瞬間付之東流、毀於一旦。
造成如此大的重創下，我們已經聽到有不少人因此身心受創吃藥緩解、甚至有人想自我了
結...

Meta官方給的理由相當籠統，給了一個條款說明原因，如：

成人性剝削、兒童性剝削、社群誠信原則、、危險人物與組織、人口販賣、管制藥物

但卻沒有明確說明是哪一個標的違規，就逕自停權、點選申述後直接遭到停用、刪帳，毫
無迴旋餘地。

在此同時，本應該被刪除的各形式詐騙廣告與頁面、各形式的色情頁面、暴力的廣告與文
章，卻仍活的非常好，相關頁面多如牛毛、族繁不及備載。

這項封鎖是連坐性的，很多人原本只是Meta旗下其中一個帳號被鎖，沒想到隨即連帶的其
他平台帳號也一起被鎖。Facebook、Instagram、Threads、Whatsapp等Meta旗下所屬帳號
都一起被鎖、刪除，這些被連坐的帳號，沒有提供任何被ban的原因。

許多人還把手遊帳號綁定Facebook，因為這樣的封鎖，直接失去了培養多年的遊戲帳號。
連同一併損失十餘年的數位回憶紀錄，其價值難以估計，這似有影響個人數位財產權之慮
。

更甚者，許多人都曾摸摸鼻子重新辦理帳號，但卻遭官方鎖定IP、電話等，辦一個鎖一個
，連同可能在同支手機、電腦上登入過的他人帳號都會被一起ban，形同惡意封殺數位平
台使用的人格權。

此事已經鬧上新聞，相關連結如附：

「未違規也被鎖」! IG帳號遭大規模停權 無限循環申訴仍失敗｜TVBS新聞
https://youtu.be/NeRzQhzW7ms

FB、IG帳號遭「無預警凍結」！ PO女兒公園玩耍照也被封
https://www.ettoday.net/news/20250616/2979087.htm


甚至也有國際連署
https://i.imgur.com/EHIn778.jpeg


韓國那邊已有國會議員也介入協助處理
https://reurl.cc/paGRj8
並獲得Meta韓國官方的初步善意回應

我們也有人曾找過數位部申訴協助，回復如下(經發文人同意)：
https://i.imgur.com/jT3Wbib.jpeg
但國內官員回應似乎是愛莫能助，且接觸案件窗口承辦人時，似乎完全搞不清楚狀況。
https://i.imgur.com/ZnBPXXb.jpeg
也有許多的其他受害者將狀況轉告給諸多立委請求協助。但也都石沉大海，毫無回應。
我們大家在如此徬徨之中，卻獲此回應，對此深感無窮無境的無力。

我們這群受害者想集結眾人力量，請我國政府、立委等協助發聲，或未來可能規劃會集體
訴訟方式，拯救各自寶貴的回憶。為此創造了一個Line社群，以集結眾人。

「停權停用討論群」
https://reurl.cc/bWvoKE

*截至114/06/18 上午10點為止，群組內受害者累積已近2800人

我們深知目前聚集於群內的人數僅僅是受害者群體的冰山一角，想要集結更多的受害者，
但又怕吸引來詐騙或是廣告，為此我們想要貼在板上，好吸引更多正規的受害者來到群內
，一起集思廣益，為自己發聲。

因此，歡迎各位受害者加入，一起討論該如何處理，幫助我們為自己發聲。

也希請中央部會官員、立院的諸公，在裁罰Meta的詐騙時
https://udn.com/news/story/7238/8812148
能夠注意到我們被無差別的拖下水，幫助我們發聲，幫忙協助爭取我們的權益。


*最後在此感謝版主的同意貼文、鄉民們的多多見諒*""",[爆卦] 徵集遭Meta官方Ban帳號的停權停用受害者,peterlee97,Gossiping
2025-06-20 1:54:05,"""作者MeiHS (簽名檔是實話，不是笑話)看板Gossiping標題Re: [問卦] mos漢堡的客層是哪些呢時間Fri Jun 20 01:54:05 2025
窩自己最近幾年的觀察，有三個族群比較明顯

1.大媽團，有一點消費力的 嘰嘰雜雜那邊聊天

2.家教(女的居多)帶學生來寫功課 高中大學都有

3.業務來談生意，包含保險/貸款
這個以前在麥當老居多，後來台麥接手，內用席大砍，可能就這樣轉去魔司""",Re: [問卦] mos漢堡的客層是哪些呢,MeiHS,Gossiping
2025-06-20 1:55:13,"""作者LouisLEE (屏東尼大木)看板Gossiping標題Fw: [乳摸] 動物方城市2新市長造型時間Fri Jun 20 01:55:13 2025
※ [本文轉錄自 C_Chat 看板 #1eKh80fS ]

作者: Yokot0813 (yokot0813) 看板: C_Chat
標題: [乳摸] 動物方城市新市長造型
時間: Wed Jun 18 20:33:02 2025

https://i.imgur.com/uglbnDF.jpeg
https://i.imgur.com/aP7nQgJ.jpeg
話說這部市長又會是反派嗎（第一部的反派是市長嗎有點忘了）""",Fw: [乳摸] 動物方城市2新市長造型,LouisLEE,Gossiping
2025-06-20 2:01:53,"""作者cimic (螃蟹)看板Gossiping標題[問卦] 摧毀私人企業黑熊學院 又怎麼了時間Fri Jun 20 02:01:53 2025


s

黑熊社會企業有限公司

黑熊學院 是私人企業欸

所營事業資料 JB01010 會議及展覽服務業
F109070 文教、樂器、育樂用品批發業
F209060 文教、樂器、育樂用品零售業
F102040 飲料批發業
F102170 食品什貨批發業
F203010 食品什貨、飲料零售業
F106020 日常用品批發業
F206020 日常用品零售業
F104110 布疋、衣著、鞋、帽、傘、服飾品批發業
F204110 布疋、衣著、鞋、帽、傘、服飾品零售業
F399040 無店面零售業
F401010 國際貿易業
I401010 一般廣告服務業
J303010 雜誌（期刊）出版業
J304010 圖書出版業
J305010 有聲出版業
J399990 其他出版業
I501010 產品設計業
I599990 其他設計業
JZ99030 攝影業
J404010 動畫影片製作業
I301020 資料處理服務業
I301010 資訊軟體服務業
I301030 電子資訊供應服務業
F601010 智慧財產權業
J601010 藝文服務業
J602010 演藝活動業
F208031 醫療器材零售業
ZZ99999 除許可業務外，得經營法令非禁止或限制之業務

怎麼了
不喜歡這家公司 不行嗎？

那些笑死人的護航
弄得好像這樣公司倒了 台灣就滅國了？""",[問卦] 摧毀私人企業黑熊學院 又怎麼了,cimic,Gossiping
2025-06-20 2:03:54,"""作者n123456n (米修)看板Gossiping標題[問卦] 有沒有新版rav4要一統江湖的卦時間Fri Jun 20 02:03:54 2025
https://i.imgur.com/9BubmWI.jpeg

新版rav4將會在不久後上市

所謂人亡車不壞 一車傳三代

屌打各大品牌 讓各品牌瑟瑟發抖

不但維修便宜 稅金有競爭力

更有國民神車的美名

有沒有rav4每次改版都是一統江湖的卦""",[問卦] 有沒有新版rav4要一統江湖的卦,n123456n,Gossiping
2025-06-20 2:14:18,"""作者globalera (a balanced life)看板Gossiping標題[問卦]從1912年到現在我國有哪些真正的開明派?時間Fri Jun 20 02:14:18 2025

日本從明治維新開始有福澤諭吉、勝海舟、大久保利通、澀澤榮一等思想上的開明派，

因此有日本今天的高度文明，我國從1912年到現在有哪些真正的開明派人士呢?

胡適大概算是開明的，不過胡適似乎太浪漫了，做事情沒什麼恆心，不論是在

政界還是學術界，都是半調子，不能說是一個好榜樣。

我國有很多知識份子或技術官僚型的專家，不論是1949年從大陸來台或台灣本土的菁英，

思想上應該也都很開明，不過很多最後都跑去美國養老了，還是有崇洋媚外的特色。

癥結點，我覺得還是日本人敢跟儒家決裂，不是說就完全不採儒家，而是承認西方的文明

在這個時代是更值得追求的，但我國的知識份子大多沒有這個勇氣，從而總是道貌岸然，

既偽善又鄉愿，因而直到現在，還是普遍被西方人、日本人瞧不起。""",[問卦]從1912年到現在我國有哪些真正的開明派?,globalera,Gossiping
2025-06-20 2:15:21,"""作者SaChiA5566 (煞氣ㄟ5566)看板Gossiping標題Re: [問卦] 劉德華真不看A片？那他怎麼學做愛？時間Fri Jun 20 02:15:21 2025
你知道稍微帥的人

就能有很多女生要求跟他做愛嗎

只要約出去兩三次

女生就會說想做愛了

也有遇過想要幫破處的

基本上帥的男生根本不用找洞

他只要負責躺著就好

女生會自己幫他舔硬，再自己坐上去開始扭

全程男生出最多力的時候就是戴保險套的時候把

甚至，女生會自己幫男生戴保險套

像華仔帥成這樣

都是女生求做愛的啦

光看他臉就夠爽了

別人要付幾千塊買票聽他唱歌

自己可以騎在他身上搖阿搖


問他怎麼學做愛

拜托

帥的真的不用特別學啦

多的是女生自己跪舔或是騎上去

女生為了他去學假裝高潮才是真的

什麼處男問題啊拜托""",Re: [問卦] 劉德華真不看A片？那他怎麼學做愛？,SaChiA5566,Gossiping
2025-06-20 2:20:31,"""作者bache (.........)看板Gossiping標題Re: [問卦] 蝦皮是不是不行了O_o？時間Fri Jun 20 02:20:31 2025
※ 引述《tonight29 (今晚)》之銘言：
: 年中最大的618優惠超弱
: 滿499才免運 還不給超商取件
: 領券好像才扣個60塊
: 跟以前狂撒免運折扣還送蝦幣
: 現在一比整個弱掉O_o
: 根本懶得清購物車
: 所以蝦皮是不是不行了？

價格就蝦皮跟momo差不多，PChome不知道在貴什麼
而蝦皮我覺得他在台灣發展店到店是個錯誤的決定，他光店的租金和裝潢，就需要不少錢
投資，那倒不如利用台灣超商世界密度世界第一高，省下店到店的房屋租金和裝潢，改每
個月送蝦皮幣，彌補運費（超商60元，店到店40元），
這樣他經營成本才會比較低
而不是越南店到店成功，然後台灣也來搞店到店，這......超商密度不同
但人家後面有中國資金在撐，還是很硬的""",Re: [問卦] 蝦皮是不是不行了O_o？,bache,Gossiping
